rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
218,3/23/2004,618,158,98,S8NCON,12/31/2005,A,1.26,1.93,"240,105","24,108","5,541","166,903",0,"196,753","120,919","19,041",0,"36,000",,"36,000",,,,0,,,1,5,1,,"36,000",43,42,0,0,1,42,0,0,1,4,0,1,0,43,0,0,0,0,0
218,3/23/2004,618,158,98,S8NCON,12/31/2006,B,0.91,1.92,"244,488","84,753","7,423","166,706",0,"207,802","128,510","20,125",0,"36,000",,"36,000",,,,0,,,1,5,1,,"36,000",43,42,0,0,1,42,0,0,1,4,0,1,0,43,0,0,0,0,0
218,3/23/2004,618,158,98,S8NCON,12/31/2007,A,1.19,2.21,"205,554",0,"7,126","166,903",0,"236,346","128,355","21,270",0,"36,000",,"36,000",,,,0,,,1,5,1,,"36,000",43,42,0,0,1,42,0,0,1,4,0,1,0,43,0,0,0,0,0
218,3/23/2004,618,158,98,S8NCON,12/31/2008,A,1.44,2.91,"246,230",0,"5,476","167,003",0,"309,931","128,907","22,481",0,"36,000",,"36,000",,,,0,,,1,5,1,,"36,000",43,42,0,0,1,42,0,0,1,4,0,1,0,43,0,0,0,0,0
218,3/23/2004,618,158,98,S8NCON,12/31/2009,A,1.28,1.27,"390,993","174,658","2,372","167,003",0,"245,371","217,699","23,761",0,"36,000",,"36,000",,,,0,,,1,5,1,,"36,000",43,42,0,0,1,42,0,0,1,4,0,1,0,43,0,0,0,0,0
218,3/23/2004,618,158,98,S8NCON,12/31/2010,A,1.43,3.66,"297,702","58,688",335,"167,003",0,"434,657","143,912","25,114",0,"36,000",,"36,000",,,,0,,,1,5,1,,"36,000",43,42,0,0,1,42,0,0,1,4,0,1,0,43,0,0,0,0,0
221,4/8/2005,696,483,158,S8NCON,12/31/2006,A,1.01,1.33,"628,865","97,498","20,452","506,059",0,"355,910","319,259","52,214",0,0,,,,,,,,,1,8,2,,0,151,150,0,0,1,151,0,0,0,15,0,1.1,0,136,15,0,0,0,0
221,4/8/2005,696,483,158,S8NCON,12/31/2007,A,1.09,3.2,"900,845","328,869","19,379","506,059",0,"376,950","173,259","55,351",0,0,,,,,,,,,1,8,2,,0,151,150,0,0,1,151,0,0,0,15,0,1.1,0,136,15,0,0,0,0
221,4/8/2005,696,483,158,S8NCON,12/31/2008,A,1.07,2.91,"818,167","269,443","8,370","506,059",0,"289,982","158,214","58,678",0,0,,,,,,,,,1,8,2,,0,151,150,0,0,1,151,0,0,0,15,0,1.1,0,136,15,0,0,0,0
221,4/8/2005,696,483,158,S8NCON,12/31/2009,A,1.03,2.16,"689,744","165,377","3,284","506,059",0,"282,797","192,900","62,204",0,0,,,,,,,,,1,8,2,,0,151,150,0,0,1,151,0,0,0,15,0,1.1,0,136,15,0,0,0,0
